Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.9117952265652025,32.011764705882385,5,12,1.538540477522994e-06,[0.71 0.99]
ICC2,Single random raters,0.9113660062565172,27.484848484848506,5,10,1.5437688521995367e-05,[0.69 0.99]
ICC3,Single fixed raters,0.8982528263103803,27.484848484848506,5,10,1.5437688521995367e-05,[0.65 0.98]
ICC1k,Average raters absolute,0.9687614847482543,32.011764705882385,5,12,1.538540477522994e-06,[0.88 1.  ]
ICC2k,Average random raters,0.9685999261174733,27.484848484848506,5,10,1.5437688521995367e-05,[0.87 1.  ]
ICC3k,Average fixed raters,0.9636163175303197,27.484848484848506,5,10,1.5437688521995367e-05,[0.85 0.99]
