Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.9279521748556872,39.63900845016424,5,12,4.7087203674138486e-07,[0.75 0.99]
ICC2,Single random raters,0.9276622021871131,33.96909826534197,5,10,5.806595801642875e-06,[0.74 0.99]
ICC3,Single fixed raters,0.9165950734191562,33.96909826534197,5,10,5.806595801642875e-06,[0.7  0.99]
ICC1k,Average raters absolute,0.9747723255676983,39.63900845016424,5,12,4.7087203674138486e-07,[0.9 1. ]
ICC2k,Average random raters,0.9746656465016484,33.96909826534197,5,10,5.806595801642875e-06,[0.89 1.  ]
ICC3k,Average fixed raters,0.9705614793719655,33.96909826534197,5,10,5.806595801642875e-06,[0.88 1.  ]
