Filename,mean,std,cv,metric
CT1_1,2.888888888888889,0.3333333333333333,0.11538461538461538,Score
CT1_2,3.0,0.7071067811865475,0.2357022603955158,Score
CT2,1.7777777777777777,0.4409585518440984,0.24803918541230535,Score
CT3,3.0,0.0,0.0,Score
CT4,4.0,0.0,0.0,Score
CT5,1.0,0.0,0.0,Score
CT1_1,39.43888888888889,9.497810858882751,0.2408234898716573,Percentage
CT1_2,44.02666666666667,13.278828073290201,0.30160875393602815,Percentage
CT2,13.83,6.287443836727291,0.4546235601393558,Percentage
CT3,35.17333333333333,5.381493751738454,0.15299925374540713,Percentage
CT4,69.83666666666666,3.2153693411488504,0.046041277377913,Percentage
CT5,1.448888888888889,1.0296291133758364,0.7106335905201325,Percentage
