Filename;Percentage;Score;Run
CT3_TIFF;30,0028;3;2
CT2_TIFF;20,7223;2;2
CT5_TIFF;1,0564;1;2
CT1_1_TIFF;32,8417;3;2
CT3_TIFF;42,9497;3;2
CT1_1_TIFF;45,1518;3;2
CT4_TIFF;72,5977;4;2
CT1_2_TIFF;36,3083;3;2
CT5_TIFF;1,226;1;2
CT1_1_TIFF;48,3461;3;2
CT2_TIFF;15,4524;2;2
CT4_TIFF;71,0224;4;2
CT2_TIFF;19,4542;2;2
CT1_2_TIFF;25,4454;2;2
CT3_TIFF;35,4601;3;2
CT1_2_TIFF;22,7212;2;2
CT5_TIFF;2,9364;1;2
CT4_TIFF;65,3426;4;2
